rules,support,confidence,coverage,lift,count
"{Google NYC Campus Mug,Google Seattle Campus Mug} => {Google Kirkland Campus Mug}",0.0022459292532285235,0.6153846153846154,0.0036496350364963502,168.6153846153846,8
"{Google Pen Bright Blue,Google Pen Citron} => {Google Pen Grass Green}",0.0036496350364963502,0.8666666666666667,0.004211117349803481,147.0031746031746,13
"{Google Confetti Slim Task Pad,Google Crew Combed Cotton Sock} => {Google See-No Hear-No Set}",0.0022459292532285235,1,0.0022459292532285235,127.21428571428571,8
"{Google Crew Combed Cotton Sock,Google See-No Hear-No Set} => {Google Confetti Slim Task Pad}",0.0022459292532285235,0.8888888888888888,0.002526670409882089,126.64888888888889,8
"{Google Pen Bright Blue,Google Pen Neon Coral} => {Google Pen Grass Green}",0.0025266704098820887,0.6428571428571429,0.0039303761931499155,109.04081632653063,9
"{Google Pen Grass Green,Google Pen Neon Coral} => {Google Pen Bright Blue}",0.0025266704098820887,1,0.0025266704098820887,107.93939393939394,9
"{Google Pen Citron,Google Pen Grass Green} => {Google Pen Bright Blue}",0.0036496350364963502,1,0.0036496350364963502,107.93939393939394,13
"{Google Clear Framed Blue Shades,Google Clear Framed Gray Shades} => {Google Clear Framed Yellow Shades}",0.002807411566535654,0.9090909090909091,0.0030881527231892197,104.4574780058651,10
"{Google Pen Bright Blue,Google Pen White} => {Google Pen Grass Green}",0.0022459292532285235,0.6153846153846154,0.0036496350364963502,104.38095238095238,8
"{Google Pen Bright Blue,Google Pen Lilac} => {Google Pen Neon Coral}",0.0022459292532285235,0.7272727272727273,0.0030881527231892197,103.62181818181818,8
"{Google Boulder Campus Mug,Google NYC Campus Mug} => {Google Cambridge Campus Mug}",0.0022459292532285235,0.8888888888888888,0.002526670409882089,98.94444444444444,8
"{Google Austin Campus Mug,Google Seattle Campus Mug} => {Google Cambridge Campus Mug}",0.0022459292532285235,0.8888888888888888,0.002526670409882089,98.94444444444444,8
{Google Pen Grass Green} => {Google Pen Bright Blue},0.004772599663110612,0.8095238095238095,0.005895564289724874,87.37950937950939,17
{Google Pen Bright Blue} => {Google Pen Grass Green},0.004772599663110612,0.5151515151515151,0.00926445816956766,87.37950937950939,17
"{Google Pen Grass Green,Google Pen White} => {Google Pen Bright Blue}",0.0022459292532285235,0.8,0.002807411566535654,86.35151515151516,8
"{Google NYC Campus Mug,Google Seattle Campus Mug} => {Google Cambridge Campus Mug}",0.002807411566535654,0.7692307692307693,0.00364963503649635,85.625,10
"{Google Pen Bright Blue,Google Pen Neon Coral} => {Google Pen Lilac}",0.0022459292532285235,0.5714285714285714,0.003930376193149916,84.80952380952381,8
"{Android Iconic Crewneck Sweatshirt,Android SM S/F18 Sticker Sheet} => {Google Land & Sea Journal Set}",0.002807411566535654,1,0.002807411566535654,82.83720930232558,10
"{Google NYC Campus Mug,Google PNW Campus Mug} => {Google Cambridge Campus Mug}",0.0022459292532285235,0.7272727272727273,0.0030881527231892197,80.95454545454545,8
"{Google Kirkland Campus Mug,Google NYC Campus Mug} => {Google Seattle Campus Mug}",0.0022459292532285235,1,0.0022459292532285235,79.15555555555555,8
"{Google Pen Lilac,Google Pen Neon Coral} => {Google Pen Bright Blue}",0.0022459292532285235,0.7272727272727273,0.0030881527231892197,78.50137741046832,8
"{Google Pen Citron,Google Pen Neon Coral} => {Google Pen Bright Blue}",0.0022459292532285235,0.7272727272727273,0.0030881527231892197,78.50137741046832,8
"{Google Pen Bright Blue,Google Pen Citron} => {Google Pen Neon Coral}",0.0022459292532285235,0.5333333333333333,0.004211117349803482,75.98933333333333,8
"{Google Pen Bright Blue,Google Pen Grass Green} => {Google Pen Citron}",0.0036496350364963502,0.7647058823529411,0.004772599663110612,75.66339869281045,13
"{Google Pen Bright Blue,Google Pen Grass Green} => {Google Pen Neon Coral}",0.0025266704098820887,0.5294117647058824,0.004772599663110612,75.43058823529412,9
{Google Kirkland Campus Mug} => {Google Seattle Campus Mug},0.003368893879842785,0.9230769230769231,0.0036496350364963502,73.06666666666666,12
{Google Seattle Campus Mug} => {Google Kirkland Campus Mug},0.003368893879842785,0.26666666666666666,0.012633352049410443,73.06666666666666,12
{Android Super Hero 3D Framed Art} => {Android Techie 3D Framed Art},0.0022459292532285235,0.4444444444444444,0.005053340819764178,71.95959595959596,8
{Android Techie 3D Framed Art} => {Android Super Hero 3D Framed Art},0.0022459292532285235,0.36363636363636365,0.006176305446378439,71.95959595959596,8
"{Google Light Pen Blue,Google Light Pen Green} => {Google Light Pen Red}",0.00673778775968557,0.8888888888888888,0.007580011229646267,68.83091787439614,24
"{Google Light Pen Blue,Google Light Pen Red} => {Google Light Pen Green}",0.00673778775968557,0.7741935483870968,0.008702975856260528,67.26042486231313,24
"{Google Austin Campus Mug,Google NYC Campus Mug} => {Google Cambridge Campus Mug}",0.0025266704098820887,0.6,0.004211117349803482,66.7875,9
{Google Pen Lilac} => {Google Pen Neon Coral},0.0030881527231892197,0.4583333333333333,0.006737787759685571,65.30333333333333,11
{Google Pen Neon Coral} => {Google Pen Lilac},0.0030881527231892197,0.44,0.007018528916339136,65.30333333333333,11
{Google Pen Red} => {Google Pen Grass Green},0.0022459292532285235,0.38095238095238093,0.005895564289724874,64.61678004535148,8
{Google Pen Grass Green} => {Google Pen Red},0.0022459292532285235,0.38095238095238093,0.005895564289724874,64.61678004535148,8
"{Google LA Campus Mug,Google NYC Campus Mug} => {Google Cambridge Campus Mug}",0.0022459292532285235,0.5714285714285714,0.003930376193149916,63.607142857142854,8
{Google Maps Pin} => {Google Lapel Pin},0.0025266704098820887,0.5294117647058824,0.004772599663110612,62.858823529411765,9
{Google Lapel Pin} => {Google Maps Pin},0.0025266704098820887,0.3,0.008422234699606963,62.85882352941176,9
"{Google Cambridge Campus Mug,Google NYC Campus Mug} => {Google Boulder Campus Mug}",0.0022459292532285235,0.4,0.005614823133071308,61.94782608695653,8
"{Google Clear Framed Blue Shades,Google Clear Framed Yellow Shades} => {Google Clear Framed Gray Shades}",0.002807411566535654,0.5,0.005614823133071308,61.41379310344828,10
{Google Pen Grass Green} => {Google Pen Citron},0.0036496350364963502,0.6190476190476191,0.005895564289724873,61.25132275132276,13
{Google Pen Citron} => {Google Pen Grass Green},0.0036496350364963502,0.3611111111111111,0.010106681639528355,61.25132275132275,13
{Google Pen Grass Green} => {Google Pen Neon Coral},0.0025266704098820887,0.42857142857142855,0.005895564289724874,61.06285714285714,9
{Google Pen Neon Coral} => {Google Pen Grass Green},0.0025266704098820887,0.36,0.007018528916339135,61.06285714285714,9
"{Google Clear Framed Gray Shades,Google Clear Framed Yellow Shades} => {Google Clear Framed Blue Shades}",0.002807411566535654,0.7142857142857143,0.0039303761931499155,60.578231292517,10
{Google Pen Neon Coral} => {Google Pen Bright Blue},0.0039303761931499155,0.56,0.007018528916339134,60.44606060606061,14
{Google Pen Bright Blue} => {Google Pen Neon Coral},0.0039303761931499155,0.42424242424242425,0.009264458169567658,60.44606060606061,14
"{Google Austin Campus Mug,Google Cambridge Campus Mug} => {Google Seattle Campus Mug}",0.0022459292532285235,0.7272727272727273,0.0030881527231892197,57.567676767676765,8
"{Google Pen Bright Blue,Google Pen Neon Coral} => {Google Pen Citron}",0.0022459292532285235,0.5714285714285714,0.003930376193149916,56.53968253968254,8
{Google Clear Framed Gray Shades} => {Google Clear Framed Yellow Shades},0.0039303761931499155,0.4827586206896552,0.008141493542953395,55.47052280311458,14
{Google Clear Framed Yellow Shades} => {Google Clear Framed Gray Shades},0.0039303761931499155,0.45161290322580644,0.008702975856260528,55.47052280311457,14
{Google Light Pen Red} => {Google Light Pen Green},0.008141493542953397,0.6304347826086957,0.01291409320606401,54.77094379639449,29
{Google Light Pen Green} => {Google Light Pen Red},0.008141493542953397,0.7073170731707317,0.011510387422796182,54.770943796394484,29
{Google Clear Framed Yellow Shades} => {Google Clear Framed Blue Shades},0.005614823133071308,0.6451612903225806,0.008702975856260528,54.715821812596005,20
{Google Clear Framed Blue Shades} => {Google Clear Framed Yellow Shades},0.005614823133071308,0.47619047619047616,0.011791128579449748,54.715821812596005,20
{Google 24 oz Ring Bottle Red} => {Google 24oz Ring Bottle Blue},0.0030881527231892197,0.4583333333333333,0.006737787759685571,52.663978494623656,11
{Google 24oz Ring Bottle Blue} => {Google 24 oz Ring Bottle Red},0.0030881527231892197,0.3548387096774194,0.008702975856260528,52.663978494623656,11
{Google Boulder Campus Sticker} => {Google LA Campus Sticker},0.0022459292532285235,0.4444444444444444,0.005053340819764178,51.06810035842294,8
{Google LA Campus Sticker} => {Google Boulder Campus Sticker},0.0022459292532285235,0.25806451612903225,0.00870297585626053,51.06810035842294,8
"{Google Light Pen Green,Google Light Pen Red} => {Google Light Pen Blue}",0.00673778775968557,0.8275862068965517,0.008141493542953397,49.96376388077148,24
{Google Pen Lilac} => {Google Pen Bright Blue},0.0030881527231892197,0.4583333333333333,0.006737787759685571,49.47222222222222,11
{Google Pen Bright Blue} => {Google Pen Lilac},0.0030881527231892197,0.3333333333333333,0.00926445816956766,49.47222222222222,11
{Google Pen Red} => {Google Pen Bright Blue},0.0025266704098820887,0.42857142857142855,0.005895564289724874,46.259740259740255,9
{Google Pen Bright Blue} => {Google Pen Red},0.0025266704098820887,0.2727272727272727,0.00926445816956766,46.259740259740255,9
{Google See-No Hear-No Set} => {Google Confetti Slim Task Pad},0.0025266704098820887,0.32142857142857145,0.007860752386299831,45.79714285714286,9
{Google Confetti Slim Task Pad} => {Google See-No Hear-No Set},0.0025266704098820887,0.36,0.007018528916339135,45.79714285714285,9
{Google Pen Bright Blue} => {Google Pen Citron},0.004211117349803481,0.45454545454545453,0.009264458169567658,44.974747474747474,15
{Google Pen Citron} => {Google Pen Bright Blue},0.004211117349803481,0.4166666666666667,0.010106681639528353,44.974747474747474,15
"{Google Boulder Campus Mug,Google Cambridge Campus Mug} => {Google NYC Campus Mug}",0.0022459292532285235,1,0.0022459292532285235,43.97530864197531,8
"{Google Cambridge Campus Mug,Google LA Campus Mug} => {Google NYC Campus Mug}",0.0022459292532285235,1,0.0022459292532285235,43.97530864197531,8
"{Google Cambridge Campus Mug,Google PNW Campus Mug} => {Google NYC Campus Mug}",0.0022459292532285235,1,0.0022459292532285235,43.97530864197531,8
{Google Pen Neon Coral} => {Google Pen Citron},0.0030881527231892197,0.44,0.007018528916339136,43.535555555555554,11
{Google Pen Citron} => {Google Pen Neon Coral},0.0030881527231892197,0.3055555555555556,0.010106681639528355,43.535555555555554,11
"{Google Confetti Slim Task Pad,Google See-No Hear-No Set} => {Google Crew Combed Cotton Sock}",0.0022459292532285235,0.8888888888888888,0.002526670409882089,43.372907153729074,8
"{Google Cambridge Campus Mug,Google Seattle Campus Mug} => {Google Austin Campus Mug}",0.0022459292532285235,0.7272727272727273,0.0030881527231892197,43.17575757575757,8
{Google Blue Kids Sunglasses} => {Google Red Kids Sunglasses},0.0025266704098820887,0.2903225806451613,0.008702975856260528,43.08870967741936,9
{Google Red Kids Sunglasses} => {Google Blue Kids Sunglasses},0.0025266704098820887,0.375,0.00673778775968557,43.08870967741935,9
{Google Light Pen Blue} => {Google Light Pen Red},0.008702975856260528,0.5254237288135594,0.016563728242560357,40.68607221812823,31
{Google Light Pen Red} => {Google Light Pen Blue},0.008702975856260528,0.6739130434782609,0.01291409320606401,40.686072218128224,31
"{Google Cambridge Campus Mug,Google Seattle Campus Mug} => {Google NYC Campus Mug}",0.002807411566535654,0.9090909090909091,0.0030881527231892197,39.97755331088664,10
{Google Light Pen Green} => {Google Light Pen Blue},0.007580011229646266,0.6585365853658537,0.01151038742279618,39.757751136833406,27
{Google Light Pen Blue} => {Google Light Pen Green},0.007580011229646266,0.4576271186440678,0.016563728242560357,39.757751136833406,27
"{Google Cambridge Campus Mug,Google NYC Campus Mug} => {Google Seattle Campus Mug}",0.002807411566535654,0.5,0.005614823133071308,39.577777777777776,10
{Google Boulder Campus Mug} => {Google Cambridge Campus Mug},0.0022459292532285235,0.34782608695652173,0.0064570466030320055,38.71739130434783,8
{Google Cambridge Campus Mug} => {Google Boulder Campus Mug},0.0022459292532285235,0.25,0.008983717012914094,38.71739130434783,8
"{Android Iconic Crewneck Sweatshirt,Google Land & Sea Journal Set} => {Android SM S/F18 Sticker Sheet}",0.002807411566535654,0.7692307692307693,0.00364963503649635,38.05555555555556,10
"{Android SM S/F18 Sticker Sheet,Google Land & Sea Journal Set} => {Android Iconic Crewneck Sweatshirt}",0.002807411566535654,0.7692307692307693,0.00364963503649635,37.534246575342465,10
{Google Austin Campus Tote} => {Google Austin Campus Mug},0.0022459292532285235,0.6153846153846154,0.0036496350364963502,36.53333333333333,8
{Google Austin Campus Mug} => {Google Austin Campus Tote},0.0022459292532285235,0.13333333333333333,0.016844469399213927,36.53333333333333,8
"{Google Austin Campus Mug,Google Cambridge Campus Mug} => {Google NYC Campus Mug}",0.0025266704098820887,0.8181818181818182,0.0030881527231892193,35.97979797979798,9
{Google LA Campus Sticker} => {Google LA Campus Mug},0.0036496350364963502,0.41935483870967744,0.008702975856260528,34.73818454613654,13
{Google LA Campus Mug} => {Google LA Campus Sticker},0.0036496350364963502,0.3023255813953488,0.012071869736103313,34.73818454613654,13
"{Google Cambridge Campus Mug,Google NYC Campus Mug} => {Google LA Campus Mug}",0.0022459292532285235,0.4,0.005614823133071308,33.13488372093024,8
{Google Pen Lilac} => {Google Pen Citron},0.0022459292532285235,0.3333333333333333,0.006737787759685571,32.98148148148148,8
{Google Pen Citron} => {Google Pen Lilac},0.0022459292532285235,0.2222222222222222,0.010106681639528357,32.98148148148148,8
"{Google Cambridge Campus Mug,Google NYC Campus Mug} => {Google PNW Campus Mug}",0.0022459292532285235,0.4,0.005614823133071308,32.38181818181818,8
{Google Clear Framed Gray Shades} => {Google Clear Framed Blue Shades},0.0030881527231892197,0.3793103448275862,0.008141493542953397,32.16912972085386,11
{Google Clear Framed Blue Shades} => {Google Clear Framed Gray Shades},0.0030881527231892197,0.2619047619047619,0.011791128579449747,32.16912972085386,11
{Google Confetti Slim Task Pad} => {Google Small Standard Journal Navy},0.0025266704098820887,0.36,0.007018528916339135,32.058,9
